resource_id,title,board,subject,target_grade,difficulty_level,format,duration_minutes,url
res_b6cbe043,Class 6 MATHS Final Exam Question Paper 2026 | #helloadhyapak,ICSE,Mathematics,Class 6,Beginner,video,20,https://www.youtube.com/watch?v=L4-RGuSf3MQ&pp=ygUxSUNTRSBDbGFzcyA2IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_6e9a8d9a,5 Tricks to Become Human Calculator🤯| Fast Math Calculation Tricks| Prashant Kirad,ICSE,Mathematics,Class 6,Advanced,video,30,https://www.youtube.com/watch?v=CCCs6maSxiw&pp=ygUxSUNTRSBDbGFzcyA2IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_64282319,Habitat and Adaptation ICSE Class 6 Biology| Exam Revision,ICSE,Science,Class 6,Beginner,video,20,https://www.youtube.com/watch?v=qPIZuDGAyvg&pp=ygUtSUNTRSBDbGFzcyA2IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_db0492db,Magnetism | Class 6 ICSE | Physics | Chapter 7 | English | Full Explanation | @jatinacademy,ICSE,Science,Class 6,Beginner,video,20,https://www.youtube.com/watch?v=VjiEv0cHWtU&pp=ygUtSUNTRSBDbGFzcyA2IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_0aa9dedf,Air and Atmosphere ICSE Class 6 Chemistry | Exam Revision,ICSE,Science,Class 6,Advanced,video,20,https://www.youtube.com/watch?v=m0s5j5p6nts&pp=ygUtSUNTRSBDbGFzcyA2IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_0784d5e3,Set Concepts Class 7 Maths || Complete Chapter || ICSE,ICSE,Mathematics,Class 7,Medium,video,30,https://www.youtube.com/watch?v=ZaEOE6ka-ok&pp=ygUxSUNTRSBDbGFzcyA3IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_cc66d773,🔥7 Best Ways to Score Highest Marks in Exams | Fastest Ways to Cover the Syllabus | Study Motivation,ICSE,Mathematics,Class 7,Advanced,video,30,https://www.youtube.com/watch?v=WEQcHInp8P0&pp=ygUxSUNTRSBDbGFzcyA3IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_ba79ab7e,Rational Numbers in One Shot | Cheat Sheet For Class 7th,ICSE,Mathematics,Class 7,Medium,video,60,https://www.youtube.com/watch?v=iLSzMsXcvlQ&pp=ygUxSUNTRSBDbGFzcyA3IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_8f545183,Physical and Chemical Changes Class 7 Science || Complete Chapter || ICSE,ICSE,Science,Class 7,Advanced,video,30,https://www.youtube.com/watch?v=nbM0uCENQkU&pp=ygUtSUNTRSBDbGFzcyA3IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u0gcJCb4KAYcqIYzv
res_5a800186,Classification of Plants | Class 7 Science ICSE | Complete Chapter Explanation | PW ICSE,ICSE,Science,Class 7,Beginner,video,20,https://www.youtube.com/watch?v=Enrn1b9xZKg&pp=ygUtSUNTRSBDbGFzcyA3IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_ae7ce07d,Matter and Its Composition Class 7 Science  || Complete Chapter || ICSE,ICSE,Science,Class 7,Medium,video,45,https://www.youtube.com/watch?v=w5BIuaWF0yk&pp=ygUtSUNTRSBDbGFzcyA3IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_202455fa,Class 8th || Complete MATHS in 1 VIDEO 🔥,ICSE,Mathematics,Class 8,Advanced,video,60,https://www.youtube.com/watch?v=hPC0Q6VzlUo&pp=ygUxSUNTRSBDbGFzcyA4IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbtIHCQm-CgGHKiGM7w%3D%3D
res_529507c7,AARAMBH Batch 2027 - Latest Update 🔥,ICSE,Mathematics,Class 8,Medium,video,60,https://www.youtube.com/watch?v=25DF4EYM1xc&pp=ygUxSUNTRSBDbGFzcyA4IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_cd27fff7,Factorization in One Shot | Maths - Class 8th | Umang | Physics Wallah,ICSE,Mathematics,Class 8,Advanced,video,20,https://www.youtube.com/watch?v=HD3z0c9obrA&pp=ygUxSUNTRSBDbGFzcyA4IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_0c30bbcc,Water | ICSE Class 8 Science Chapter 8 | Full Explaination | PW ICSE,ICSE,Science,Class 8,Advanced,video,30,https://www.youtube.com/watch?v=_xZg-iu-l0c&pp=ygUtSUNTRSBDbGFzcyA4IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_64bf7b1a,Electricity | Class 8 Science ICSE | Complete Chapter Explaination | PW ICSE,ICSE,Science,Class 8,Advanced,video,60,https://www.youtube.com/watch?v=y9qrLRGKDeM&pp=ygUtSUNTRSBDbGFzcyA4IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_7ec0d274,Sound | ICSE Class 8 Science Chapter 6 | Complete Chapter,ICSE,Science,Class 8,Medium,video,60,https://www.youtube.com/watch?v=s5vxhE8VGbk&pp=ygUtSUNTRSBDbGFzcyA4IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_6065cff1,Class 9 ICSE Complete Maths Marathon in One Shot | Final Term Exams,ICSE,Mathematics,Class 9,Beginner,video,20,https://www.youtube.com/watch?v=oCeSM_PyUJM&pp=ygUxSUNTRSBDbGFzcyA5IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_7e0e7560,TRAINGLES ICSE Class 9 Maths | Complete Chapter Covered + Questions,ICSE,Mathematics,Class 9,Advanced,video,20,https://www.youtube.com/watch?v=I1CAODgJffc&pp=ygUxSUNTRSBDbGFzcyA5IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_58e4cda0,SOUND - Full Chapter in 45 Min | ICSE Class 9 Physics | Mind Map Revision,ICSE,Science,Class 9,Medium,video,30,https://www.youtube.com/watch?v=iyog-zVwxKw&pp=ygUtSUNTRSBDbGFzcyA5IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_ed34fae5,CURRENT ELECTRICITY - Full Chapter in 45 Min | ICSE Class 9 Physics | Mind Map Revision,ICSE,Science,Class 9,Advanced,video,45,https://www.youtube.com/watch?v=TjelIlE04dg&pp=ygUtSUNTRSBDbGFzcyA5IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_e6e22d11,MAGNETISM - Full Chapter in 45 Min | ICSE Class 9 Physics | Mind Map Revision,ICSE,Science,Class 9,Beginner,video,20,https://www.youtube.com/watch?v=QL0S01k9l8E&pp=ygUtSUNTRSBDbGFzcyA5IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_207769c4,ICSE 10th Maths Students Reaction 2026 |ICSE2nd March Maths paper solution2026|ICSE Maths Answer key,ICSE,Mathematics,Class 10,Beginner,video,60,https://www.youtube.com/watch?v=A_l9EIbkhQs&pp=ygUySUNTRSBDbGFzcyAxMCBNYXRoZW1hdGljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_286eae45,ICSE Class 10 Maths Paper Analysis 2026 | ICSE Class 10 Maths Exam Review 2nd March 2026,ICSE,Mathematics,Class 10,Beginner,video,30,https://www.youtube.com/watch?v=3ds9TEoEcHc&pp=ygUySUNTRSBDbGFzcyAxMCBNYXRoZW1hdGljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_ebb54cd9,ICSE Class 10 MATHS Last Minute Revision 5 AM | Class 10 Maths Revision For Board Exam 2026,ICSE,Mathematics,Class 10,Advanced,video,30,https://www.youtube.com/watch?v=P6KU0jT6eQc&pp=ygUySUNTRSBDbGFzcyAxMCBNYXRoZW1hdGljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_924cf619,Force Complete Chapter in One Shot | Class 10 Physics | ICSE Board | LEGEND 2026,ICSE,Science,Class 10,Advanced,video,45,https://www.youtube.com/watch?v=nOTzvl0UTPg&pp=ygUuSUNTRSBDbGFzcyAxMCBTY2llbmNlIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_b15b498d,5 Tricks to Become Human Calculator🤯| Fast Math Calculation Tricks| Prashant Kirad,SSC,Mathematics,Class 6,Advanced,video,20,https://www.youtube.com/watch?v=CCCs6maSxiw&pp=ygUwU1NDIENsYXNzIDYgTWF0aGVtYXRpY3MgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_dc179bab,Playing With Constructions | Part 1 | Class 6 Maths |  Chapter 8 | Ganita Prakash,SSC,Mathematics,Class 6,Medium,video,20,https://www.youtube.com/watch?v=OLwC2qFvwTg&pp=ygUwU1NDIENsYXNzIDYgTWF0aGVtYXRpY3MgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_019d692c,Perimeter and Area | Class 6th Maths | Complete Chapter,SSC,Mathematics,Class 6,Advanced,video,60,https://www.youtube.com/watch?v=QdtqCjoLiQc&pp=ygUwU1NDIENsYXNzIDYgTWF0aGVtYXRpY3MgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_bed487f5,Work and Energy | Class 6 | Science | English Medium | SSC Board | Home Revise,SSC,Science,Class 6,Medium,video,60,https://www.youtube.com/watch?v=r7s0xw1FpCI&pp=ygUsU1NDIENsYXNzIDYgU2NpZW5jZSBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
