resource_id,title,board,subject,target_grade,difficulty_level,format,duration_minutes,url
res_f85dfff2,Tracing Changes Through a Thousand Years Full Chapter Class 7 History | Class 7 History Chapter 1,CBSE,History,Class 7,Medium,video,28,https://www.youtube.com/watch?v=AcJzSFwCfWs&pp=ygUtQ0JTRSBDbGFzcyA3IEhpc3RvcnkgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_a4430671,New Kings and Kingdoms Full Chapter Class 7 History | Class 7 History Chapter 2,CBSE,History,Class 7,Beginner,video,19,https://www.youtube.com/watch?v=LADNv3VlA_Y&pp=ygUtQ0JTRSBDbGFzcyA3IEhpc3RvcnkgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_8031c211,The Mughal Empire Class 7 History Social Science (Chapter 4) Chapter Explained | BYJU'S - Class 7,CBSE,History,Class 7,Advanced,video,39,https://www.youtube.com/watch?v=3Dp5FAF084o&pp=ygUtQ0JTRSBDbGFzcyA3IEhpc3RvcnkgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_82f5783b,CBSE Class 7 Social Science History Notes Chapter 1 ...,CBSE,History,Class 7,Medium,text,26,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/773eebab-692e-47f7-87a7-9e5e4af7faff.pdf
res_cb9e35f7,CBSE Notes Class 7 Social Science History Chapter 1- ...,CBSE,History,Class 7,Beginner,text,11,https://cdn1.byjus.com/wp-content/uploads/2020/01/CBSE-Notes-Class-7-Social-Science-History-Chapter-1-Tracing-Changes-Through-Thousand-Years.pdf
res_c68daccd,Class 7 Geography Full Chapter 5 | Water Full Chapter Class 7 Geography | CBSE,CBSE,Geography,Class 7,Advanced,video,24,https://www.youtube.com/watch?v=Pu5QPfK-ask&pp=ygUvQ0JTRSBDbGFzcyA3IEdlb2dyYXBoeSBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_92372bc6,Class 7 Geography Full Chapter 4 | Air Full Chapter Class 7 Geography | CBSE,CBSE,Geography,Class 7,Beginner,video,32,https://www.youtube.com/watch?v=qggk5vMBxLY&pp=ygUvQ0JTRSBDbGFzcyA3IEdlb2dyYXBoeSBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_91285e98,Our Environment | Class 7 : Geography | CBSE/ NCERT | Class 7 | Full Chapter Notes | Social Studies,CBSE,Geography,Class 7,Beginner,video,15,https://www.youtube.com/watch?v=6-f-h0hgKt4&pp=ygUvQ0JTRSBDbGFzcyA3IEdlb2dyYXBoeSBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_c3eb9870,CBSE Class 7 Geography Notes Chapter 1 Overview,CBSE,Geography,Class 7,Medium,text,12,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/5af3d94e-f309-4d62-9e79-5874c3f4a795.pdf
res_0c72e5d6,CBSE Class 7 Geography Notes Chapter 4 - Air,CBSE,Geography,Class 7,Beginner,text,20,https://cdn1.byjus.com/wp-content/uploads/2020/01/CBSE-Class-7-Geography-Notes-Chapter-4-Air.pdf
res_f87f3be8,Class 7 Civics Full Chapter 6 | Understanding Media | CBSE,CBSE,Civics,Class 7,Advanced,video,26,https://www.youtube.com/watch?v=t_SvvYKELXc&pp=ygUsQ0JTRSBDbGFzcyA3IENpdmljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_ecc7244d,Class 7 Civics Full Chapter 5 | Women Change the World | CBSE,CBSE,Civics,Class 7,Advanced,video,23,https://www.youtube.com/watch?v=YlUQWzYrkS0&pp=ygUsQ0JTRSBDbGFzcyA3IENpdmljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb27SBwkJvgoBhyohjO8%3D
res_2ac36559,Class 7 Civics Full Chapter 7 | Markets Around Us | CBSE,CBSE,Civics,Class 7,Beginner,video,18,https://www.youtube.com/watch?v=0twyx2r3-zo&pp=ygUsQ0JTRSBDbGFzcyA3IENpdmljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb27SBwkJvgoBhyohjO8%3D
res_9dfa1f05,CBSE Class 7 Social Science Civics Notes Chapter 1 On ...,CBSE,Civics,Class 7,Beginner,text,22,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/84e22cd4-b0c5-4d9d-8b38-2698513f30d4.pdf
res_f79e651c,CBSE Notes Class 7 Social Science Civics Chapter 5,CBSE,Civics,Class 7,Beginner,text,29,https://cdn1.byjus.com/wp-content/uploads/2020/01/CBSE-Notes-Class-7-Social-Science-Civics-Chapter-5-Women-Change-the-World.pdf
res_819fa87b,Understanding Markets | Full Chapter Explained in ONE SHOT | Class 7 SST (Civics) | CBSE 2026,CBSE,Economics,Class 7,Medium,video,20,https://www.youtube.com/watch?v=V77EBSZVFMw&pp=ygUvQ0JTRSBDbGFzcyA3IEVjb25vbWljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_10435721,Understanding Markets | Class 7 New NCERT Economics Chapter 12 | Gautam Lakhani,CBSE,Economics,Class 7,Medium,video,29,https://www.youtube.com/watch?v=qNAfus0AZ1U&pp=ygUvQ0JTRSBDbGFzcyA3IEVjb25vbWljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_cc2cd6d0,Understanding Markets (Part 1) - English Explanation | Class 7 Social Science #kvs #nvs #cbseclass7,CBSE,Economics,Class 7,Advanced,video,42,https://www.youtube.com/watch?v=RouORl9Ce6Q&pp=ygUvQ0JTRSBDbGFzcyA3IEVjb25vbWljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_db8c0bcf,CBSE Class 7 Social Science Civics Notes Chapter 7 PDF,CBSE,Economics,Class 7,Medium,text,28,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/7c18b4ce-f102-4f74-bfdc-951589a1ddac.pdf
res_368ba6ab,Introduction Revision Notes 1. Macro Economics,CBSE,Economics,Class 7,Beginner,text,30,https://www.vedantu.com/content-files-downloadable/5b6939e2e4b01509eac68c33.pdf
res_1b175e09,NCERT class 7 Sanskrit Deepakam Chapter 7 Question Answer | EDUMAGNET,CBSE,Sanskrit,Class 7,Beginner,video,18,https://www.youtube.com/watch?v=2D_dNjySZQc&pp=ygUuQ0JTRSBDbGFzcyA3IFNhbnNrcml0IGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_fea0c8e7,Class 7 Sanskrit NCERT Ch1 Question Answer Newbook || NCERT Sanskrit Class 7 Question Answer ch1,CBSE,Sanskrit,Class 7,Beginner,video,44,https://www.youtube.com/watch?v=VjNh1FLdLgc&pp=ygUuQ0JTRSBDbGFzcyA3IFNhbnNrcml0IGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_26975245,AARAMBH Batch 2027 - Latest Update 🔥,CBSE,Sanskrit,Class 7,Advanced,video,38,https://www.youtube.com/watch?v=25DF4EYM1xc&pp=ygUuQ0JTRSBDbGFzcyA3IFNhbnNrcml0IGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_0e122df7,guide.pdf,CBSE,Sanskrit,Class 7,Beginner,text,26,https://www.learnsanskrit.org/static/pdf/guide.pdf
res_517f8b98,समास परिचय,CBSE,Sanskrit,Class 7,Beginner,text,17,https://ncert.nic.in/textbook/pdf/jhva109.pdf
res_f6a6ca66,GRADE 7 | CHAPTER 1 | COMPUTER SCIENCE | CBSE NCERT,CBSE,Computer Science,Class 7,Medium,video,21,https://www.youtube.com/watch?v=Xx7Pl7WnqDY&pp=ygU2Q0JTRSBDbGFzcyA3IENvbXB1dGVyIFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_e5c51577,ch 6 | Nextech Learning  | Computer | Class 7 | Control Statements in Python  | For children,CBSE,Computer Science,Class 7,Beginner,video,44,https://www.youtube.com/watch?v=L-mUpLJlCDs&pp=ygU2Q0JTRSBDbGFzcyA3IENvbXB1dGVyIFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_20d5aba5,Chapter 2 More on Python | Computer Class 7 | Smart Lecture | Kohinoor Study Well,CBSE,Computer Science,Class 7,Medium,video,30,https://www.youtube.com/watch?v=EoNikEeUC_8&pp=ygU2Q0JTRSBDbGFzcyA3IENvbXB1dGVyIFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_711a962d,class-vii.pdf,CBSE,Computer Science,Class 7,Medium,text,22,https://kvkhagariadigitallibrary.files.wordpress.com/2018/05/class-vii.pdf
res_b2c1be9c,InformatIon and Computer teChnology,CBSE,Computer Science,Class 7,Beginner,text,23,https://cbseacademic.nic.in/web_material/doc/2014/12_ICT-X.pdf
res_5b4c8f7c,Information & Communication Technology (ICT) |  NTA UGC NET Paper 1 Syllabus | Part 1,CBSE,Information Technology,Class 7,Medium,video,25,https://www.youtube.com/watch?v=u56EzXAvKQk&pp=ygU8Q0JTRSBDbGFzcyA3IEluZm9ybWF0aW9uIFRlY2hub2xvZ3kgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_3a8c049c,Introduction to ICT | Class 9 Information Technology Chapter 7,CBSE,Information Technology,Class 7,Advanced,video,33,https://www.youtube.com/watch?v=nba4nKnsea0&pp=ygU8Q0JTRSBDbGFzcyA3IEluZm9ybWF0aW9uIFRlY2hub2xvZ3kgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_32669327,Introduction to ICT - One Shot Revision | Class 9 Information Technology Chapter 7,CBSE,Information Technology,Class 7,Advanced,video,31,https://www.youtube.com/watch?v=GjukXGsyt_s&pp=ygU8Q0JTRSBDbGFzcyA3IEluZm9ybWF0aW9uIFRlY2hub2xvZ3kgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_bfa912e3,class-vii.pdf,CBSE,Information Technology,Class 7,Medium,text,14,https://kvkhagariadigitallibrary.files.wordpress.com/2018/05/class-vii.pdf
res_c30c32fb,Information Technology,CBSE,Information Technology,Class 7,Medium,text,12,https://cbseacademic.nic.in/web_material/Curriculum/Vocational/2018/Book(IT%20Level-X)402.pdf
res_33ff9c3d,The Environment | Class 7 - Geography | Learn with BYJU'S,CBSE,Environmental Science,Class 7,Beginner,video,39,https://www.youtube.com/watch?v=_3xPPcVAeg0&pp=ygU7Q0JTRSBDbGFzcyA3IEVudmlyb25tZW50YWwgU2NpZW5jZSBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_ff0fb4e3,Class 7 Geography Full Chapter 1 | Environment - in Hindi | CBSE,CBSE,Environmental Science,Class 7,Medium,video,29,https://www.youtube.com/watch?v=_4ZgN8R5PtI&pp=ygU7Q0JTRSBDbGFzcyA3IEVudmlyb25tZW50YWwgU2NpZW5jZSBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_39658c14,Our Environment | Class 7 : Geography | CBSE/ NCERT | Class 7 | Full Chapter Notes | Social Studies,CBSE,Environmental Science,Class 7,Advanced,video,43,https://www.youtube.com/watch?v=6-f-h0hgKt4&pp=ygU7Q0JTRSBDbGFzcyA3IEVudmlyb25tZW50YWwgU2NpZW5jZSBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_c3d994d5,CBSE Class 7 Science Notes Chapter 17 Overview,CBSE,Environmental Science,Class 7,Beginner,text,23,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/5c7b1065-6531-4bee-85d7-77d1bf9a2c2a.pdf
res_bfc3d3a6,Chapter - 17,CBSE,Environmental Science,Class 7,Medium,text,28,https://ncert24.com/assets/ots/pdf/cbse-class-7-science-notes-chapter-12.pdf
res_27af8184,Gk Question for class 7th || Basic GK Question & Answer || Gk in class 7th,CBSE,General Knowledge,Class 7,Beginner,video,32,https://www.youtube.com/watch?v=bY3920XMKHg&pp=ygU3Q0JTRSBDbGFzcyA3IEdlbmVyYWwgS25vd2xlZGdlIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_11472c5f,Basic General knowledge for class 7 only || Gk for class 7 || Gk class 7 || class 7 Quiz || Gk Teach,CBSE,General Knowledge,Class 7,Beginner,video,30,https://www.youtube.com/watch?v=Dobco7wB-eM&pp=ygU3Q0JTRSBDbGFzcyA3IEdlbmVyYWwgS25vd2xlZGdlIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_9d1190b3,50 General Knowledge Questions! 🧠🤯 How Good is Your General Knowledge?,CBSE,General Knowledge,Class 7,Beginner,video,21,https://www.youtube.com/watch?v=8MP8JlxfmQU&pp=ygU3Q0JTRSBDbGFzcyA3IEdlbmVyYWwgS25vd2xlZGdlIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_dfab4c7d,GENERAL KNOWLEDGE,CBSE,General Knowledge,Class 7,Beginner,text,11,http://www.gptcvillupuram.in/placement/gk-book.pdf
res_58b7735b,Student's Encyclopedia of General Knowledge,CBSE,General Knowledge,Class 7,Beginner,text,30,https://nibmehub.com/opac-service/pdf/read/Students%20Encyclopedia%20of%20General%20Knowledge-%20Ahmad.%20K.A..pdf
res_5328c639,Class 8th || Complete MATHS in 1 VIDEO 🔥,CBSE,Mathematics,Class 8,Beginner,video,37,https://www.youtube.com/watch?v=hPC0Q6VzlUo&pp=ygUxQ0JTRSBDbGFzcyA4IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_ba5a4237,LIVE | Class 8 Maths | Important For Board Exams 2026 | Sanjeev Desk Work,CBSE,Mathematics,Class 8,Advanced,video,22,https://www.youtube.com/watch?v=jD5DTWC5tTY&pp=ygUxQ0JTRSBDbGFzcyA4IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_c9130d35,Fraction In Disguise Class 8 Maths || Ganit Prakash Part - 2,CBSE,Mathematics,Class 8,Advanced,video,40,https://www.youtube.com/watch?v=aB9uHBGVfSc&pp=ygUxQ0JTRSBDbGFzcyA4IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_31c3d93f,maths-class-viii-question-bank.pdf,CBSE,Mathematics,Class 8,Medium,text,18,https://kumarsir34.wordpress.com/wp-content/uploads/2019/04/maths-class-viii-question-bank.pdf
res_61d77b3a,Mathematics Class - 8,CBSE,Mathematics,Class 8,Beginner,text,30,https://cbseacademic.nic.in/cbe/documents/SAS_Maths-Class-8.pdf
res_a0950eb9,Light Full Chapter Class 8 Science | NCERT Science Class 8 Chapter 16,CBSE,Science,Class 8,Beginner,video,15,https://www.youtube.com/watch?v=Ka3a_0LwDo0&pp=ygUtQ0JTRSBDbGFzcyA4IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_f345ee81,Chapter 1 Class 8 Science | Crop Production and Management - Introduction | Class 8 Science,CBSE,Science,Class 8,Medium,video,35,https://www.youtube.com/watch?v=J_cYceNpptY&pp=ygUtQ0JTRSBDbGFzcyA4IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
